CourseID,Pre-Req,MUTUALLY EXC
ACCT101,NIL,
ACCT102,NIL,
ACCT337,COR-STAT1202,DSA211
ACCT420,ACCT337 / DSA211,MKTG228 / OPIM326
ACCT421,COR-STAT1202,
ACCT421,FNCE101,
ACCT421,ACCT224 / ACCT201,
ACCT428,NIL,
COMM255,IS211,
COR1100,NIL,
COR1201,NIL,
COR1305,NIL,IS112 / IS105
COR1306,NIL,
COR2100,NIL,
COR2226,NIL,
COR3001,NIL,
COR3301,NIL,
COR-COMM1304,NIL,
COR-IS1702,NIL,
COR-JPAN2401,NIL,
COR-KREA2402,NIL,
COR-MGMT1303,NIL,
COR-STAT1202,NIL,
CS101,NIL,
CS102,IS111,IS442
CS103,NIL,
CS104,NIL,
CS105,COR1201,
CS106,CS101,
CS201,CS102 / IS442,
CS202,CS201,
CS204,NIL,
CS205,CS102,
CS205,CS106,
CS206,IS211,
CS206,IS113/CS203,
CS301,IS213 / SMT203 / CS204,IS458
CS302,CS203 / IS212,IS213
CS420,IS111,
CS421,CS103,IS460
CS421,IS217,IS460
CS422,CS420,
CS423,CS201 / CS420,
CS424,IS111,
CS425,CS420 / CS421,
CS426,IS111,
CS440,IS111,
CS441,CS440,
CS442,CS440,
CS442,IS112,
CS443,IS111,
CS444,CS440,
CS444,IS112,
CS445,IS112,
CS445,CS440,
CS460,IS111,
CS460,IS112,
CS461,CS206 / CS201 / CS205,
CS462,IS111,
CS462,IS112,
CS462,IS210,
CS462,IS212,
CS462,IS213,
CSU,,
DSA201,STAT201,
DSA211,COR-STAT1202,ACCT337
DSA212,COR-STAT1202,
DSA301,DSA211 / ACCT337,ECON233
DSA303,,
DSA305,STAT201,
DSA305,DSA201,
DSA306,STAT201,
DSA306,DSA212,
ECON233,,DSA301
ECON245,COR-STAT1202,
FNCE101,COR-STAT1202,
FNCE101,ACCT101,
FNCE313,FNCE101,
IRM,,
IS105,NIL,NA FOR SCIS DUE IS112
IS111,NIL,
IS112,NIL,IS105
IS113,NIL,
IS114,NIL,
IS210,NIL,
IS211,NIL,
IS212,IS112,
IS212,IS113,
IS213,IS113,
IS213,IS112,
IS214,NIL,
IS215,IS111,
IS216,IS113,
IS217,COR-1202,
IS217,IS111,
IS404,NIL,
IS405,NIL,
IS412,IS213,
IS415,NIL,IS428
IS417,NOT FOUND,
IS419,IS213,
IS423,NIL,
IS424,IS112,IS417
IS425,Y3>=,
IS428,NIL,IS415
IS430,IS213 / IS216,
IS434,IS111,
IS442,IS111,CS102
IS444,IS213 / SMT203 / CS302,
IS445,NIL,
IS446,NIL,
IS447,NOT FOUND,
IS450,IS111,
IS452,NIL,
IS453,COR-STAT1202,
IS453,IS111,
IS454,IS217,
IS454,IS424 / CS421,
IS455,IS217,
IS456,NOT FOUND,
IS457,IS111,
IS457,IS217,
IS458,IS112,
IS458,IS213,
IS458,IS214,
IS459,IS112,
IS460,IS217 / COR-STAT1202,CS421
IS461,NOT FOUND,
IS462,NIL,
IS463,NIL,
IS483,IS212 + 2 Track Courses,
IS484,IS212 + 2 Track Courses,
IS485,IS212 + 2 Track Courses,
IS492,IS213,
IS492,IS458 / CS301,
LAW401,NIL,
LAW486,NIL,
LGST101,NIL,
MGMT102,"FNCE101 / OBHR101 / MKTG101 / OPIM201
(Any 2)",
MGMT236,"FNCE101 / ACCT101 / MKTG101 / COR-COMM1304 / OBHR101 / OPIM201 / MGMT102
(Any 2)",
MGMT240,NIL,CS420
MGMT245,"FNCE101 / ACCT101 / MKTG101 / COR-COMM1304 / OBHR101 / OPIM201 / MGMT102
(Any 2)",
MGMT318,NIL,
MGMT319,NIL,
MGMT345,NIL,
MKTG101,NIL,
MKTG228,MKTG101,OPIM326  / ACCT420
MKTG228,COR-STAT1202,OPIM326  / ACCT420
OBHR101,NIL,
OBHR225,OBHR101,
OPIM101,NIL,
OPIM201,NIL,
OPIM326,OPIM101,MKTG228 / ACCT420
POSC101,NIL,
QF101,COR1201,
QF102,COR1201 / COR-STAT1202,
QF205,NIL,
QF208,NOT FOUND,
QF209,COR1201,
SMT112,NIL,
SMT201,NIL,
SMT202,IS111,
SMT202,IS217,
SMT203,IS111,
SMT203,IS112,
SMT203,IS217,
SMT401,NOT FOUND,
SMT481,IS111,
SMT481,IS217,
STAT201,COR-STAT1202,
STAT313,NOT FOUND,
IS491,IS464,
IS464,NIL  / IS217,
IS465,NIL,
IS466,NIL,
