Number,Main Ball Frequency,Additional Frequency,,23-Jan-25,Difference
1,131,21,,141,10
2,120,25,,131,11
3,117,20,,125,8
4,118,13,,132,14
5,132,16,,136,4
6,120,27,,129,9
7,117,22,,123,6
8,125,21,,135,10
9,122,16,,131,9
10,116,20,,132,16
11,115,12,,123,8
12,129,17,,141,12
13,111,22,,123,12
14,110,16,,122,12
15,139,19,,151,12
16,107,23,,118,11
17,109,14,,124,15
18,111,24,,120,9
19,117,17,,123,6
20,126,28,,133,7
21,121,19,,126,5
22,126,19,,134,8
23,120,21,,129,9
24,124,20,,131,7
25,116,20,,119,3
26,117,16,,124,7
27,123,20,,130,7
28,133,16,,144,11
29,108,26,,116,8
30,124,21,,134,10
31,120,24,,129,9
32,127,11,,138,11
33,101,25,,110,9
34,113,26,,126,13
35,123,21,,131,8
36,128,21,,136,8
37,123,19,,131,8
38,116,16,,124,8
39,111,16,,120,9
40,142,15,,151,9
41,111,21,,121,10
42,101,23,,107,6
43,109,18,,120,11
44,141,20,,141,0
45,103,17,,108,5
46,130,21,,141,11
47,119,20,,123,4
48,125,27,,132,7
49,122,25,,137,15
